Rank,Player,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
1,James Harden,53,36.6,27.4,8.3,18.3,45.5,2.6,6.9,38.3,8.1,9.3,87,0.9,4.8,5.7,6.8,2,0.8,4,27.5
2,LeBron James,45,36.6,25.9,9.2,18.7,48.9,1.6,4.8,33.3,6,8.2,73.6,0.7,4.9,5.6,7.3,1.5,0.7,4.2,25
3,Russell Westbrook,39,32.7,25.8,8.8,20.4,43.1,1,3.5,28.1,7.3,8.7,83,1.9,4.5,6.3,7.6,2.1,0.1,3.7,25.3
4,Anthony Davis,46,35.8,24.5,9.5,17.2,55.1,0,0.2,11.1,5.6,6.7,83.1,2.7,7.6,10.3,1.7,1.5,2.7,1.3,30.7
5,Carmelo Anthony,40,35.7,24.2,9,20.2,44.4,1.5,4.5,34.1,4.7,5.9,79.7,1.8,4.8,6.6,3.1,1,0.4,2.2,20.6
6,DeMarcus Cousins,40,34.5,23.8,8.4,18,46.5,0,0.1,50,7,8.8,80.1,3,9.4,12.5,3.3,1.4,1.7,4.3,26.9
7,Stephen Curry,51,33.2,23.6,8.2,17,48.1,3.2,7.9,39.9,4,4.5,90,0.7,4,4.7,7.9,2.2,0.2,3.1,26.2
8,LaMarcus Aldridge,47,36,23.6,9.3,20,46.3,0.5,1.3,42.4,4.5,5.2,87.3,2.6,7.7,10.3,1.8,0.8,1.1,1.9,24.4
9,Blake Griffin,51,35.3,22.5,8.8,17.5,50.1,0.2,0.4,38.1,4.8,6.7,71.8,2,5.6,7.5,5.1,0.9,0.4,2.2,23.7
10,Klay Thompson,50,32.5,22.1,7.9,16.9,47.1,3.1,7,44,3.1,3.6,86.1,0.4,3,3.4,2.9,1.2,0.9,2.2,18.9
11,Kyrie Irving,52,37.7,21.7,7.8,16.8,46.6,2.2,5.3,41.4,3.9,4.6,84.1,0.8,2.6,3.3,5.3,1.5,0.3,2.3,20.2
12,Damian Lillard,53,36.3,21.5,7.2,16.7,43.3,2.5,7.2,33.9,4.6,5.3,86.1,0.7,3.9,4.6,6.3,1.5,0.3,2.6,21.3
13,Chris Bosh,44,35.4,21.1,7.8,16.9,46,1.4,3.8,37.5,4.1,5.3,77.2,1,6,7,2.2,0.9,0.6,2.2,19.3
14,Jimmy Butler,49,39.3,20.4,6.6,14.3,46.1,1.1,3.1,34.2,6.2,7.4,83.4,1.8,4,5.8,3.2,1.8,0.6,1.4,21.5
15,Rudy Gay,48,35.3,19.9,7,15.9,44.4,1,2.9,34,4.8,5.6,86.5,1.3,4.6,5.9,3.9,1.1,0.5,2.6,19
16,Monta Ellis,55,33.6,19.8,7.8,17.1,45.4,1.2,3.8,32.9,3,3.9,76.5,0.5,1.9,2.4,4.5,1.9,0.3,2.5,16.1
17,Gordon Hayward,53,35.2,19.7,6.6,14.4,46,1.7,4.4,39.2,4.7,5.8,80.7,0.7,4.3,5,4.3,1.4,0.4,2.7,19.1
18,Nikola Vucevic,50,34.3,19.6,8.5,15.9,53.6,0,0.1,66.7,2.5,3.2,77.6,3.2,8.1,11.3,1.9,0.6,0.7,2,24.1
19,Derrick Rose,43,31.1,18.9,7.2,17.3,41.5,1.6,5.5,29.4,3,3.7,80.5,0.7,2.4,3.1,5,0.7,0.3,3.2,14
20,Kemba Walker,42,35.6,18.8,6.6,16.6,39.9,1.6,4.9,32,4,4.8,82.3,0.7,3.1,3.8,5.2,1.4,0.6,1.7,17.3
21,Kyle Lowry,53,35.1,18.6,6.5,15.4,42.3,1.8,5.4,33.3,3.8,4.8,80.2,0.9,3.9,4.8,7.2,1.6,0.2,2.5,20.1
22,Pau Gasol,51,35.1,18.4,7.2,14.6,49.3,0.1,0.3,46.2,3.9,4.8,81,3,9.2,12.1,3,0.3,2.1,2.1,25.5
23,Dirk Nowitzki,51,29.8,18.3,6.7,14.3,46.7,1.3,3.6,36,3.6,4.1,88.9,0.6,5.4,6,2,0.5,0.5,1.2,18
24,Marc Gasol,53,33.9,18.3,6.7,13.6,49.1,0,0.2,16.7,4.9,5.9,81.9,1.5,6.6,8.1,3.7,0.9,1.7,2.2,22.4
25,Brandon Knight,52,32.5,17.8,6.2,14.3,43.5,2,4.9,40.9,3.3,3.7,88.1,0.5,3.8,4.3,5.4,1.6,0.2,3.2,17.5
26,Chris Paul,54,34.6,17.7,6.4,13.6,46.8,1.6,4.2,38.1,3.3,3.8,88.2,0.7,4.2,4.9,9.7,1.9,0.2,2.2,24.4
27,Tobias Harris,47,34.6,17.4,6.6,14.2,46.5,1.1,3.1,37.5,3,3.9,78.5,1.1,5.4,6.6,2,1,0.5,1.8,17.3
28,John Wall,54,35.7,17.4,6.5,14,46,0.8,2.7,31,3.6,4.7,76.5,0.4,4.1,4.5,10.1,1.9,0.5,3.7,22
29,Al Jefferson,43,31.3,17.3,7.8,16,48.7,0,0,0,1.8,2.7,67.8,1.5,7,8.5,1.8,0.5,1.4,1,19.5
30,Eric Bledsoe,53,33.9,17.2,5.8,12.8,45,1.1,3.3,33.3,4.5,5.5,82.2,0.9,4.3,5.2,5.9,1.7,0.6,3.1,19.5
31,Jeff Teague,50,31.5,17,5.9,12.7,46.7,1.1,3.1,34,4.1,4.7,86.9,0.4,2.2,2.5,7.5,1.7,0.5,2.7,19.1
32,Kevin Love,52,34.7,17,5.6,13,42.9,1.7,4.9,34.5,4.1,5.1,81.1,2.1,8.3,10.4,2.3,0.7,0.5,1.7,20.8
33,Ty Lawson,51,37,16.9,5.9,13.2,44.7,1.1,2.9,36,4.1,5.5,73.1,0.5,2.6,3.2,10.1,1.3,0.1,2.6,20.1
34,Mike Conley,49,31.7,16.9,6,13.2,45.5,1.6,4,40.1,3.2,3.8,85.9,0.4,2.8,3.2,5.3,1.2,0.1,2.3,16.7
35,Paul Millsap,53,33.3,16.8,5.9,12.4,47.8,1,2.9,34.6,4,5.2,75.5,1.7,6.2,7.9,3,1.8,0.9,2.3,20.4
36,Zach Randolph,44,32.5,16.8,6.6,13.5,49.2,0.1,0.2,57.1,3.5,4.6,75.6,3.9,8.1,12,1.8,0.9,0.2,2.1,21.6
37,Tyreke Evans,52,34.5,16.8,6.7,15.3,43.6,0.8,2.8,30.1,2.6,3.8,68.7,1.1,4.3,5.4,6.1,1.2,0.4,3,17.1
38,Victor Oladipo,46,34.2,16.6,6.1,13.7,44.3,1,2.9,34.1,3.5,4.2,81.5,0.7,3.4,4.1,3.8,1.6,0.1,2.8,15.1
39,Wesley Matthews,53,34,16.4,5.8,12.9,45.3,3,7.6,39.8,1.6,2.2,72.9,0.7,2.9,3.6,2.3,1.2,0.1,1.4,14.5
40,Goran Dragic,52,33.4,16.2,6.5,13.1,50.1,1.3,3.6,35.5,1.9,2.5,74.6,1,2.6,3.6,4.1,1,0.2,2.2,15.6
41,Darren Collison,45,34.8,16.1,5.8,12.2,47.3,1.3,3.6,37.3,3.2,4.1,78.8,0.4,2.8,3.2,5.6,1.5,0.3,2.5,16.9
42,Jamal Crawford,53,26.9,16,5.1,13.1,39.1,1.9,5.7,32.8,3.9,4.3,90.4,0.3,1.7,2,2.6,0.9,0.2,1.5,11.8
43,Derrick Favors,49,30.9,15.9,6.5,12.1,54,0,0,0,2.8,4.3,66.5,2.6,5.6,8.1,1.5,0.7,1.6,1.5,19.4
44,Jeff Green,49,31.9,15.9,5.6,13.2,42.3,1.3,4.2,30.6,3.4,4,83.8,0.8,3.3,4.1,1.7,0.7,0.4,1.4,13
45,Chandler Parsons,52,33.1,15.6,5.7,12.6,45.4,2,5.4,37.5,2.1,2.9,72.8,1.1,3.8,4.8,2.4,1,0.3,1.3,15.1
46,Al Horford,52,30.7,15.6,6.9,12.7,54.4,0.2,0.5,29.6,1.6,2,77.4,1.7,5.8,7.4,3.3,0.7,1.4,1.3,20.8
47,Joe Johnson,50,35.6,15.5,6,13.8,43.6,1.6,4.4,36.5,1.9,2.4,80.5,0.8,3.8,4.6,3.7,0.8,0.2,1.9,14.7
48,Brandon Jennings,41,28.6,15.4,5.3,13.2,40.1,1.9,5.1,36,2.9,3.5,83.9,0.5,2,2.5,6.6,1.1,0.1,2.2,15.1
49,Greg Monroe,52,30.2,15.4,5.9,12,49.2,0,0,0,3.5,4.7,75.3,3.5,6.9,10.4,2,0.9,0.4,2.1,19.6
50,Brook Lopez,42,27.1,15.3,6.4,12.7,50.2,0,0.2,14.3,2.5,3.1,81.1,2.1,4.1,6.2,0.7,0.6,1.7,1.6,15.9
51,Isaiah Thomas,46,25.7,15.2,4.7,11.1,42.6,1.8,4.5,39.1,4,4.6,87.2,0.6,1.8,2.4,3.7,1,0.1,1.9,13.5
52,Andrew Wiggins,53,34.5,15.2,5.6,13.1,43.1,0.6,1.8,35.8,3.3,4.5,73.7,1.5,2.9,4.3,1.9,1.1,0.6,2,12.6
53,Jrue Holiday,37,33.7,15.2,6.1,13.8,44.4,1.3,3.5,36.7,1.7,2,85.1,0.8,2.7,3.5,7.1,1.6,0.6,2.4,17.7
54,Lou Williams,53,24.6,15.2,4.5,11.3,39.6,1.8,5.4,33.2,4.4,5.1,86.2,0.3,1.5,1.8,1.8,1.2,0.1,1.2,11.3
55,Markieff Morris,54,30.8,15.1,6.2,13.3,46.8,0.8,2.4,32,1.9,2.4,77.3,1.3,4.6,6,2,1.2,0.5,2,15.1
56,Bradley Beal,42,33.4,15,5.6,13.2,42.3,1.8,4.1,43.6,2,2.5,81.1,0.9,2.9,3.8,3,1.2,0.3,1.9,13.3
57,Michael Carter-Williams,41,33.9,15,5.7,14.9,38,0.8,3,25.6,2.9,4.4,64.3,1,5.1,6.2,7.4,1.5,0.4,4.2,15.3
58,Ryan Anderson,50,29.1,14.9,5.2,12.7,40.8,2.2,6.3,34.7,2.3,2.6,86.4,2,3.2,5.2,1,0.6,0.3,1.1,13
59,JJ Redick,50,29.2,14.6,5,10.6,46.8,2.4,5.5,43.6,2.2,2.6,86.7,0.2,1.6,1.8,1.6,0.4,0.1,1.2,11.3
60,Arron Afflalo,53,33,14.5,5.3,12.4,42.8,1.5,4.6,33.7,2.4,2.8,84.1,0.4,3,3.4,1.9,0.6,0.1,1.6,11.4
61,Tony Parker,39,29.1,14.5,5.8,12.3,47.6,0.7,1.5,50.9,2.1,2.5,80.8,0.3,1.6,1.8,4.7,0.5,0.1,2.5,12.3
62,Tim Duncan,48,30,14.5,5.7,11.6,48.7,0,0,0,3.1,4.3,72.5,2.5,7.4,9.9,2.9,1,1.9,2,21
63,Jared Sullinger,51,28.7,14.4,5.8,13.1,44.7,1,3.4,28.9,1.7,2.3,74.8,2.7,5.5,8.1,2.4,0.8,0.7,1.4,17.2
64,Luol Deng,46,32.9,14.3,5.3,10.9,48.8,1.1,2.8,37.7,2.7,3.6,74.5,1.4,3.7,5.1,1.8,1,0.3,1.6,14.6
65,Thaddeus Young,48,33.4,14.3,6,13.4,45.1,0.4,1.4,29.2,1.8,2.7,68.2,1.6,3.5,5.1,2.8,1.8,0.3,1.6,14.6
66,Wilson Chandler,52,31.7,13.9,5.3,12.7,42,1.9,5.5,33.8,1.4,1.7,80.7,1.2,4.8,6,1.5,0.6,0.4,1.4,13.3
67,Enes Kanter,49,27.1,13.8,5.8,11.9,49.1,0.3,0.8,31.7,1.9,2.4,78.8,3,4.8,7.8,0.5,0.5,0.3,1.9,14.6
68,Serge Ibaka,53,32.7,13.8,5.5,12,45.9,1.4,3.6,38.9,1.3,1.6,83.5,2.1,5.4,7.5,0.9,0.5,2.3,1.5,16.6
69,Shabazz Muhammad,37,23.1,13.6,5.2,10.6,48.6,0.5,1.4,39.2,2.8,3.9,72,1.7,2.4,4.1,1.2,0.5,0.2,0.9,12.1
70,Nick Young,40,23.7,13.5,4.2,11.5,36.5,2,5.4,36.7,3.2,3.5,90,0.4,1.9,2.3,1,0.6,0.3,1.1,8.9
71,Avery Bradley,50,30.8,13.4,5.4,12.6,42.9,1.5,4.3,35.2,1.1,1.3,81.8,0.5,2.2,2.7,1.5,0.9,0.2,1.3,9.9
72,Robert Covington,43,28.3,13.2,4.2,10.6,39.5,2.4,6.2,38.9,2.5,3,83.5,1,3.7,4.7,1.5,1.4,0.5,1.7,12.8
73,David West,39,29.6,13.1,5.6,11.7,48,0.1,0.4,23.5,1.8,2.2,80.5,1.8,5.4,7.3,3.5,0.9,0.7,1.9,17.1
74,Deron Williams,38,30.7,12.9,4.2,11,38.4,1.3,3.4,36.9,3.2,3.9,82.4,0.4,2.6,3,6.1,0.9,0.3,2.2,13.5
75,Reggie Jackson,50,28,12.8,5,11.5,43.2,0.9,3.2,27.8,2,2.3,86.1,0.6,3.5,4,4.2,0.8,0.1,1.8,13.3
76,Kyle Korver,53,33.2,12.7,4.1,8,51.2,3,5.8,52.3,1.5,1.7,91.1,0.2,4.1,4.3,2.7,0.7,0.5,1.5,15.3
77,Trevor Ariza,53,35.8,12.6,4.4,11.5,37.8,2.3,7,33.1,1.6,1.8,86.6,1.1,4.4,5.4,2.3,2,0.2,1.6,13.5
78,Jarrett Jack,52,30.5,12.6,4.9,10.8,45.1,0.5,1.8,25,2.4,2.8,86.2,0.3,3.1,3.3,5,1.1,0.2,2.6,13.4
78,Trey Burke,52,31.5,12.6,4.8,13.1,36.7,1.6,5.2,31.6,1.4,1.7,80,0.4,2.2,2.6,4.7,0.8,0.2,1.7,10.6
80,Andre Drummond,54,29.5,12.6,5.5,10.9,50,0,0,0,1.6,4.1,40.6,4.9,7.9,12.8,0.6,1,1.8,1.5,19.4
81,Carlos Boozer,52,24.8,12.5,5.6,10.8,51.6,0,0,0,1.4,2.2,62.1,1.7,5.3,7,1.3,0.5,0.2,1.2,14.2
82,Paul Pierce,51,26.8,12.5,4.2,9.4,45.1,1.5,4,38.4,2.6,3.3,78,0.7,3.5,4.3,2,0.7,0.3,1.3,12.6
83,Gerald Green,53,20.5,12.5,4.5,10.9,41.4,2,5.5,35.7,1.5,1.7,86.7,0.6,2.3,2.9,1.2,0.7,0.2,1.5,9.4
84,Josh Smith,54,28.8,12.4,5.2,12.5,41.4,0.6,2,32.1,1.4,3,46.9,1.9,4.8,6.7,3.7,1.2,1.4,2.5,14
85,CJ Miles,43,25.1,12.4,4.3,11.6,37.1,1.9,6.2,31.1,1.8,2.3,79.8,0.3,2.6,2.8,1.2,0.9,0.3,1.1,8.8
86,Jordan Hill,48,28,12.3,5.2,10.9,47.6,0,0,0,1.9,2.5,76,2.7,5.3,8,1.4,0.5,0.9,1.5,15.3
87,Mo Williams,41,28,12.2,4.4,10.9,40.3,1.4,4.1,34.7,2,2.3,85.1,0.3,2.1,2.4,6.4,0.7,0.2,2.5,12.5
88,Evan Fournier,53,29,12.1,4.4,10.1,43.6,1.5,3.8,37.7,1.9,2.6,71.9,0.5,2.1,2.6,2.1,0.8,0,1.4,9.8
89,Manu Ginobili,46,24.7,12,4.1,9.7,41.8,1.5,4.1,35.3,2.5,3.4,72,0.4,2.6,3,4.8,1,0.2,2.3,12.1
90,Jonas Valanciunas,52,26.2,12,4.5,8.1,56.2,0,0,0,3,3.7,80.6,2.6,6,8.6,0.4,0.3,1.2,1.4,16.9
91,Giannis Antetokounmpo,53,29.6,12,4.5,9,50.7,0.1,0.6,16.7,2.8,3.9,73.3,1.2,5.3,6.6,2.5,0.9,1,2,15.6
92,Danny Green,52,30.3,12,4.2,9.9,42.2,2.4,6.2,39.4,1.2,1.5,82.9,0.8,3.7,4.5,2,1.4,1.2,1.2,14
93,DeMarre Carroll,47,31.6,12,4.2,9,46.4,1.7,4.3,39.7,1.9,2.7,71.7,1.3,3.9,5.1,1.5,1.3,0.2,0.8,13.7
94,Marreese Speights,49,18.1,12,4.9,9.7,50.3,0,0.2,18.2,2.2,2.7,82,1.8,3.3,5.1,0.9,0.2,0.6,1.2,12.3
95,Kentavious Caldwell-Pope,54,30.8,11.9,4.4,11.1,39.6,1.8,5.2,34.9,1.3,1.9,69.2,0.6,2.5,3.1,1.1,1.1,0.3,1.1,9.1
96,O.J. Mayo,53,24.6,11.8,4.3,10.2,42.2,1.4,4,35.5,1.8,2.1,83.9,0.4,2.2,2.6,2.9,0.7,0.3,1.7,10.3
97,Kenneth Faried,49,27.4,11.7,4.7,9.3,50.4,0,0.1,25,2.4,3.5,68.2,3,5.7,8.7,1.2,0.7,0.7,1.5,15.8
98,Ben McLemore,52,33.2,11.7,4.3,9.7,44.4,1.8,4.9,36.2,1.4,1.7,83.7,0.4,2.7,3,1.5,0.8,0.3,1.6,10
99,J.R. Smith,44,28.6,11.7,4.5,11,40.6,2,5.5,35.5,0.8,1.2,72.5,0.2,2.5,2.7,3,1.2,0.1,1.6,10.3
100,Rodney Stuckey,46,26,11.6,4.3,9.9,44,0.5,1.5,34.3,2.4,3,82.4,0.5,3,3.5,3,0.8,0.1,1.6,11.2
101,Donatas Motiejunas,53,28,11.6,4.8,9.3,51.8,0.5,1.6,31.8,1.4,2.3,61.8,2,4,6,1.6,0.7,0.4,1.8,13.3
102,Marcin Gortat,54,29.2,11.6,4.9,9.2,53.7,0,0.1,0,1.7,2.4,70.5,2,6.1,8.1,1.1,0.5,1.3,1.4,16.2
103,Khris Middleton,50,27.1,11.4,4.4,9.2,47.6,1.3,3,42.3,1.4,1.6,84,0.6,3.7,4.4,1.8,1.6,0.2,1.1,13.2
104,Nene,46,25.3,11.4,4.8,9.1,52.7,0,0.1,20,1.7,2.9,60.6,1.1,4,5.1,2,1.1,0.4,1.7,12.8
105,Gerald Henderson,50,27.4,11.2,4.2,9.7,43.5,0.5,1.6,30.4,2.2,2.6,87.5,0.5,2.5,3,2.5,0.5,0.3,1.2,10.5
106,Roy Hibbert,50,25.6,11.1,4.4,9.7,45.6,0,0,0,2.3,2.7,82.5,1.9,5.2,7.1,1.3,0.2,1.8,1.6,14.1
107,Tim Hardaway Jr.,52,23.2,11.1,3.8,10,38.5,1.7,4.9,33.6,1.8,2.2,82.1,0.2,1.8,2,1.7,0.3,0.2,1,7.8
108,Kelly Olynyk,40,24.5,11.1,4.4,8.6,50.6,0.9,2.6,35.3,1.5,2.2,68.2,1.6,3.9,5.4,1.7,1,0.7,1.8,13.3
109,Corey Brewer,51,26.2,11.1,4,9.5,42.1,0.9,3.1,29.4,2.1,2.8,76.1,1,2.3,3.3,2.5,1.7,0.2,1.6,10.9
109,Draymond Green,51,32,11.1,4.1,9.4,43.2,1.4,4.1,33,1.6,2.4,68.3,1.6,6.7,8.3,3.6,1.6,1.4,1.7,18.2
111,Aaron Brooks,54,20,10.8,3.8,8.7,44.1,1.5,3.4,44.2,1.7,1.9,86.5,0.3,1.5,1.8,2.7,0.6,0.2,1.9,9.2
112,Mario Chalmers,52,30.9,10.8,3.5,8.8,39.9,0.9,3,28.5,2.9,3.8,77.7,0.4,2.3,2.7,4.3,1.6,0.1,2.4,11
113,DeAndre Jordan,54,33.8,10.7,4.5,6.2,72.5,0,0,0,1.7,4.2,41.4,4.6,9.2,13.8,0.6,0.9,2.4,1.2,23
114,Patrick Beverley,41,30.9,10.7,3.8,9.9,38.6,2.2,6,36.5,0.9,1.2,72.5,1.4,3.1,4.5,3.3,1.1,0.4,1.4,12.2
115,Courtney Lee,50,31.2,10.7,4,8.4,47.6,1.3,2.9,44.8,1.5,1.7,84.9,0.3,2.1,2.3,2.1,1,0.2,1,10.7
116,Tyson Chandler,52,30.7,10.7,4.1,6,68.4,0,0,0,2.5,3.4,73.7,4,7.8,11.8,1.3,0.6,1.3,1.4,21.5
117,Taj Gibson,45,28.5,10.7,4.2,8.6,48.8,0,0,0,2.3,3.3,70.1,2.8,3.9,6.7,1.3,0.6,1.3,1.3,14
118,D.J. Augustin,54,23.8,10.6,3.5,8.5,41,0.9,2.8,32.7,2.7,3.1,87,0.2,1.6,1.9,4.9,0.6,0,2,10.6
119,Dion Waiters,51,24.9,10.6,4.3,10.7,39.6,0.7,2.8,26.1,1.4,1.9,74,0.4,1.6,2,2,1.3,0.3,1.5,7.7
120,Mason Plumlee,52,23.4,10.3,4,6.8,59,0,0.1,0,2.3,4.6,49.8,2.5,4.5,7,0.9,0.8,1,1.4,13.5
121,Harrison Barnes,51,29.2,10.3,3.9,7.8,50.3,1.1,2.6,43.2,1.4,1.9,72.4,1.5,4.2,5.7,1.5,0.6,0.2,0.9,13.1
122,Terrence Ross,53,25.7,10.3,3.9,9.5,41.4,1.7,4.7,36.8,0.7,0.8,80,0.4,2.7,3.1,1,0.6,0.3,0.9,8.6
123,Jeremy Lin,52,25.5,10.2,3.5,8.2,42.6,0.9,2.4,37.4,2.3,3,77.7,0.3,2.1,2.4,4.6,1.1,0.4,2.4,10.9
124,Michael Kidd-Gilchrist,36,26.3,10.2,3.7,8.1,45.2,0,0,0,2.9,4.3,67.3,1.8,5.4,7.2,1.6,0.5,0.6,1.1,13.1
125,Luc Mbah a Moute,46,29,10,3.9,9.4,41.7,0.8,2.7,28.6,1.4,2.3,62.3,1.2,3.6,4.9,1.3,1.3,0.3,1.6,9.9
126,Amir Johnson,50,26.7,9.9,4.2,7.1,59.6,0.3,0.6,44.8,1.2,2,63.3,2.2,3.5,5.7,1.4,0.6,0.9,1.5,13.5
127,Marcus Morris,54,22.8,9.9,3.9,8.5,45.6,1.4,3.5,39.7,0.7,1.1,65.6,0.9,3,3.9,1.4,0.7,0.2,0.8,10.2
128,Matt Barnes,52,29.3,9.8,3.5,7.7,46,1.6,4.3,36.7,1.1,1.3,80,0.6,3.2,3.8,1.5,0.9,0.6,1.1,10.9
129,Tyler Zeller,51,20.1,9.6,3.8,6.8,55.7,0,0,0,2.1,2.5,82.3,1.7,3.8,5.5,1.3,0.3,0.7,1,13
130,Solomon Hill,54,31,9.6,3.3,8.3,39.3,0.9,2.8,31.3,2.2,2.7,81.4,1,3.1,4.1,2.3,1,0.2,1.5,10.1
131,Gary Neal,43,21.7,9.6,3.3,9.3,35.9,0.9,3.1,29.3,2,2.4,86.3,0.3,1.9,2.2,1.9,0.4,0,1.3,6.5
132,Greivis Vasquez,53,22.8,9.6,3.7,9.1,40.8,1.5,4.2,36.2,0.7,1,72.5,0.2,2.4,2.6,3.5,0.5,0.1,1.4,9.3
133,Brandon Bass,51,20.8,9.5,3.7,7.9,47.1,0.1,0.3,23.1,2.1,2.6,78.4,1.2,2.9,4.2,1.1,0.5,0.5,0.9,10
134,Gorgui Dieng,53,28.7,9.5,3.5,7.1,48.9,0,0.1,20,2.6,3.2,79.1,3.3,5.1,8.4,2.2,0.9,1.7,1.6,16.8
135,Anthony Morrow,45,24,9.4,3.4,7.9,43.4,1.4,3.9,37.1,1.1,1.2,87.5,0.6,1.9,2.5,0.9,0.7,0.1,0.4,8.5
136,Donald Sloan,40,24.5,9.4,3.5,8.4,41.3,1,3,32.2,1.5,1.9,78.7,0.3,3.1,3.4,4.3,0.5,0,1.4,10.8
